Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,GDP_per_capita_PPP,TotalGDP,Population
Kyrgyzstan,72.0,75.6,68.4,35.3,2573712,38,5736.479,39125270675.407005,6820433.0
Laos,69.5,71.8,67.3,38.3,3018824,34,8080.4355,60224641283.7765,7453143.0
Latvia,76.5,80.7,71.9,67.5,1250246,30,35604.9,67134676775.4,1885546.0
Lebanon,78.1,80.0,76.0,86.0,5032693,572,11599.775,66328476231.325,5718083.0
Lesotho,58.2,60.9,55.4,32.8,774177,78,2544.7825,5755015444.62,2261496.0
Liberia,62.5,63.8,61.1,55.0,3150252,60,1539.2089,8095127505.1742,5259278.0
Libya,73.2,75.3,71.2,77.5,5780434,4,12641.51,90198918378.38,7135138.0
Lithuania,76.3,80.9,71.6,68.2,1929035,45,46575.69,130153110890.67001,2794443.0
Luxembourg,82.5,84.1,80.9,87.2,593272,263,137947.34,88318439330.22,640233.0
Macao,83.4,85.5,81.3,97.1,701381,24067,74177.78,51506305854.14,694363.0
Madagascar,64.0,65.8,62.3,40.3,13199949,56,1599.4127,47488215256.3191,29691033.0
Malawi,67.7,71.0,64.4,19.8,4407124,236,1687.5936,33831556794.604797,20047218.0
Malaysia,77.0,79.7,74.6,77.4,27844592,110,29822.85,1022397888685.95,34282367.0
Maldives,81.5,83.2,80.2,39.6,209810,1766,19052.623,9833496940.629,516123.0
Mali,60.9,62.4,59.5,44.4,11190626,21,2347.6274,52560060288.483795,22388587.0
Malta,83.6,85.5,81.7,76.5,417398,1704,58199.4,30515982399.0,524335.0
Mauritania,68.9,71.0,66.9,60.3,3206736,5,5836.566,27635112774.384,4734824.0
Mauritius,75.3,78.5,72.3,41.5,526689,625,22737.572,29094701542.764,1279587.0
Mexico,75.4,78.2,72.6,87.9,115925945,68,21031.709,2684657840824.863,127648107.0
Micronesia,71.8,74.8,69.0,23.5,26661,162,3921.725,437621371.025,111589.0
Moldova,71.5,75.8,66.8,57.7,1729211,91,15682.07,47418361203.17,3023731.0
Mongolia,72.2,76.9,67.8,67.2,2362934,2,14792.251,49400600830.377,3339627.0
Montenegro,77.4,80.6,74.1,68.7,434519,47,24509.936,14799221906.480001,603805.0
