Country,LifeExpectancy Both,LifeExpectancy Female,LifeExpectancy Male,UrbanPopulation Percentage,UrbanPopulation Absolute,PopulationDensity,ScrapeTimestamp
Lebanon,78.1,80.0,80.0,86.0,5032693,572,2025-05-12T16:22:04.370426
Lesotho,58.2,60.9,60.9,32.8,774177,78,2025-05-12T16:22:04.991790
Liberia,62.5,63.8,63.8,55.0,3150252,60,2025-05-12T16:22:05.655541
Libya,73.2,75.3,75.3,77.5,5780434,4,2025-05-12T16:22:06.277703
Lithuania,76.3,80.9,80.9,68.2,1929035,45,2025-05-12T16:22:06.900365
Luxembourg,82.5,84.1,84.1,87.2,593272,263,2025-05-12T16:22:07.569693
Macao,83.4,85.5,85.5,97.1,701381,24067,2025-05-12T16:22:08.209116
Madagascar,64.0,65.8,65.8,40.3,13199949,56,2025-05-12T16:22:08.825045
Malawi,67.7,71.0,71.0,19.8,4407124,236,2025-05-12T16:22:09.436161
Malaysia,77.0,79.7,79.7,77.4,27844592,110,2025-05-12T16:22:10.125541
Maldives,81.5,83.2,83.2,39.6,209810,1766,2025-05-12T16:22:10.759364
Mali,60.9,62.4,62.4,44.4,11190626,21,2025-05-12T16:22:11.395024
Malta,83.6,85.5,85.5,76.5,417398,1704,2025-05-12T16:22:12.014463
Martinique,82.9,85.8,85.8,0.0,0,321,2025-05-12T16:22:12.709894
Mauritania,68.9,71.0,71.0,60.3,3206736,5,2025-05-12T16:22:13.339285
Mauritius,75.3,78.5,78.5,41.5,526689,625,2025-05-12T16:22:14.007966
Mayotte,76.4,78.7,78.7,41.4,139411,899,2025-05-12T16:22:14.715635
Mexico,75.4,78.2,78.2,87.9,115925945,68,2025-05-12T16:22:15.355753
Micronesia,71.8,74.8,74.8,23.5,26661,162,2025-05-12T16:22:15.975818
Micronesia,71.8,74.8,74.8,23.5,26661,162,2025-05-12T16:22:16.595427
Moldova,71.5,75.8,75.8,57.7,1729211,91,2025-05-12T16:22:17.237171
Mongolia,72.2,76.9,76.9,67.2,2362934,2,2025-05-12T16:22:17.890016
Montenegro,77.4,80.6,80.6,68.7,434519,47,2025-05-12T16:22:18.513787
Morocco,75.7,78.0,78.0,67.3,25869035,86,2025-05-12T16:22:19.146111
Mozambique,64.0,66.9,66.9,41.6,14810679,45,2025-05-12T16:22:19.748490
Myanmar,67.3,70.6,70.6,34.1,18722491,84,2025-05-12T16:22:20.375548
Namibia,67.7,71.6,71.6,54.4,1683548,4,2025-05-12T16:22:20.992285
Nepal,70.9,72.4,72.4,24.5,7265589,207,2025-05-12T16:22:21.647128
Netherlands,82.4,84.0,84.0,88.9,16318658,544,2025-05-12T16:22:22.323668
New Caledonia,79.1,81.5,81.5,75.7,223627,16,2025-05-12T16:22:22.956120
New Zealand,82.4,84.0,84.0,83.6,4388310,20,2025-05-12T16:22:23.576867
Nicaragua,75.3,77.7,77.7,58.1,4071293,58,2025-05-12T16:22:24.211535
Niger,61.7,62.7,62.7,18.2,5067678,22,2025-05-12T16:22:24.814903
Nigeria,54.8,55.1,55.1,54.9,130312056,261,2025-05-12T16:22:25.433022
North Korea,73.9,76.0,76.0,63.3,16815725,221,2025-05-12T16:22:26.094851
North Macedonia,77.7,79.8,79.8,69.4,1258951,72,2025-05-12T16:22:26.739752
Norway,83.6,85.1,85.1,85.9,4830373,15,2025-05-12T16:22:27.347941
Oman,80.5,82.2,82.2,90.8,4989686,18,2025-05-12T16:22:27.998415
Pakistan,67.9,70.5,70.5,34.4,87777053,331,2025-05-12T16:22:28.613914
Panama,80.0,82.8,82.8,70.7,3229574,61,2025-05-12T16:22:29.274848
Papua New Guinea,66.4,69.3,69.3,12.6,1351201,24,2025-05-12T16:22:29.919372
